Ticker,ETF
AGG,iShares Core US Aggregate Bond ETF
ANGL,VanEck Fallen Angel High Yield Bond ETF
VCSH,Vanguard Short-Term Corporate Bond Idx Fd ETF
IGSB,iShares 1-5 Year Investment Grade Corporate Bd ETF
LQD,iShares iBoxx $ Inv Grade Corporate Bond ETF
VCLT,Vanguard Long-Term Corporate Bond Idx Fund ETF
USHY,iShares Broad USD High Yield Corporate Bond ETF
EMB,iShares JPMorgan USD Emerging Markets Bond ETF
SJNK,SPDR Bloomberg Short Term High Yield Bond ETF
VCIT,Vanguard Intermediate-Term Corp Bond Idx Fund ETF
FALN,iShares Fallen Angels USD Bond ETF
HYG,iShares iBoxx $ High Yield Corporate Bond ETF
JNK,SPDR Bloomberg High Yield Bond ETF
